ID,Nombre,Peso Original,Fecha Creacion,Suma Peso Renditions
1202207588001,"Presentación oficial Miss Venezuela",9153203,2011-10-05,54420041.0
1202297152001,"Discurso de Ledezma en funeral de CAP",10248558,2011-10-05,20202646.0
1202416570001,"Las respuestas más controversiales del Miss Venezuela",21389277,2011-10-05,72909317.0
1202513597001,"El iPhone 4s siete veces más rápido que el original",4670908,2011-10-05,9275247.0
1202626672001,"Acción Democrática rinde homenaje a Carlos Andrés Pérez",6746164,2011-10-05,63156247.0
1203324091001,"Presentación oficial Colección 2011-2012 Leones del Caracas",8582614,2011-10-06,50992871.0
1203720720001,"Adiós al gran maestro Steve Jobs",4826776,2011-10-06,9531719.0
1204324109001,"Traslado restos CAP a iglesia Chiquinquirá",20923551,2011-10-06,73778176.0
1204427394001,"Los rostros de las misses",6859553,2011-10-06,64719790.0
1204462620001,"Misa de Carlos Andrés Pérez",12809713,2011-10-06,120624820.0
1204734991001,"Se apagó la manzana de Apple",6121309,2011-10-06,12349533.0
1204759231001,"Tomas Tranströmer ganó Nobel de Literatura 2011",3046384,2011-10-06,6096561.0
1205727655001,"Maduro defiende informe de DDHH ante la ONU",14195516,2011-10-07,35191951.0
1206831928001,"Rayma Editora Invitada Estampas",7732934,2011-10-07,71150391.0
1206930408001,"Cubano René González obtiene su libertad",2268039,2011-10-07,4656429.0
1207011250001,"Entrenamiento de los Tiburones de la Guaira",4922844,2011-10-07,45751584.0
1207011266001,"Resumen partido Ecuador-Venezuela",4655389,2011-10-07,43853120.0
1208275693001,"Inauguran sistema Transmetrópoli para Caracas",8176909,2011-10-08,77469685.0
1209694040001,"La comunidad española en Miami recibe a la reina Sofía",4394989,2011-10-09,8861917.0
1210335836001,"La nube informática y la seguridad de datos continúan la disputa entre las compañías",5735918,2011-10-10,11590854.0
1211184066001,"Cristiano Ronaldo llama anormales a fanáticos de Messi",3311157,2011-10-10,6550387.0
1211220764001,"Anuncio del Premio Nobel de Economía 2011",2403088,2011-10-10,5842915.0
1212827442001,"Previa Argentina Venezuela ",3424302,2011-10-11,6771698.0
1212929490001,"Presentación de muñeco de Chávez en VTV",5734844,2011-10-11,11287235.0
1213173215001,"Fanaticada enciende motores",3496837,2011-10-11,32924913.0
1213863818001,"LVBP apunta a gran temporada",8146505,2011-10-12,48337402.0
1213873113001,"Venezuela 1 Argentina 0",5329079,2011-10-12,50865908.0
1214576518001,"Chávez recibe a Abás y defiende el reconocimiento de Palestina como Estado",3998395,2011-10-12,8008381.0
1214909684001,"EEUU, Canadá, Chile, Argentina, Brasil, Venezuela y Colombia, sin servicio de BlackBerry",3718861,2011-10-12,7473662.0
1215058098001,"Capriles Radonski lanzó oficialmente su candidatura",21708584,2011-10-12,74665332.0
1215361942001,"vicepresidente Jaua bailó con las comunidades indígenas",14699085,2011-10-12,49935093.0
1216970250001,"Protestan contra las prácticas racistas de la policía en NY",3821378,2011-10-13,7588843.0
1217051486001,"Cecilia Sosa presenta su precandidatura ",11621411,2011-10-13,110660922.0
1217269753001,"RIM anuncia que Blackberry ya está funcionando con normalidad",3061937,2011-10-13,6079990.0
1217333296001,"Atletas aguardan el inicio de los Panamericanos",4666071,2011-10-13,9320654.0
1217835315001,"Ensayo General del Miss Venezuela 2011",9027360,2011-10-14,85898318.0
1218655275001,"En Londres dijeron ¡viva Venezuela!",15412807,2011-10-14,29292960.0
1218702498001,"Todas para una",25363712,2011-10-14,240451574.0
1218710739001,"Prakriti y Marcel editores invitados",8866017,2011-10-14,84096545.0
1218712513001,"Policía blinda a Guadalajara antes del inicio de los XVI Juegos",4882685,2011-10-14,9875190.0
1218882050001,"Chávez asegura haber ponchado a Miguel Cabrera",12869624,2011-10-14,76503992.0
1219355918001,"Leopoldo López inicia su recorrido Por la mejor Venezuela",13585975,2011-10-15,125145426.0
1220279677001,"Los indignados se manifiestan a escala mundial",3955003,2011-10-15,7893655.0
1220279688001," Santería y catolicismo se funden en culto a María Lionza",4228730,2011-10-15,8365250.0
1220345890001,"Peruanos rindieron honores al Señor de los Milagros",4940283,2011-10-15,47255328.0
1220809489001,"Preguntas del Miss Venezuela 2011",38600826,2011-10-16,215012622.0
1220809509001,"Venezuela conquista primera medalla en Panamericanos",11130403,2011-10-16,39497141.0
1220816382001,"Indignados convocan a miles de personas en América Latina",6923299,2011-10-16,13902537.0
1221612151001,"Misses compartieron con los medios",10853265,2011-10-16,103698060.0

1221660883001,"Obama inaugura monumento a Martin Luther King",3494970,2011-10-16,6996705.0
1221703791001,"Venezuela presentó informe ante el SIP",14109041,2011-10-16,79184486.0
1222311623001,"Chávez parte a Cuba el domingo 16 de octubre",20369645,2011-10-17,42097956.0
1222311680001,"Zapatos de diseño comestibles",2211286,2011-10-17,4399705.0
1222478111001,"La duquesa de Alba presenta sus memorias",4126809,2011-10-17,8161209.0
1223226461001,"TSJ se pronuncia sobre la inhabilitación de Leopoldo López",12828477,2011-10-17,121392723.0
1224533890001,"Contralora de la república habla sobre caso de Leopoldo López",19964131,2011-10-18,39414030.0
1225063286001,"Leopoldo López se pronuncia ante sentencia del TSJ",8805374,2011-10-18,84301385.0
1226496815001,"Christie´s vende un raro diamante",4700901,2011-10-19,9494396.0
1226830946001,"Sistema de navegación europeo Galileo inaugura su fase final",3823546,2011-10-19,7696084.0
1226892036001,"Trabajadores de la Alcaldía Metropolitana reclaman sus beneficios",7796113,2011-10-19,74513029.0
1226994647001,"Romario afirma que Argentina no juega para Messi",5381989,2011-10-19,10680745.0
1227105569001,"Hoy es el día Mundial contra el Cáncer de Mama",5366874,2011-10-19,10632184.0
